Starting memory monitor at Thu Apr  3 17:46:32 UTC 2025
Elapsed_Time | PID | Name | Heap_Used_MB | Heap_Capacity_MB | RSS_MB
00:00:05 | 1924 | GradleDaemon | 26.6MB | 230.0MB | 138.8MB
00:00:11 | 1924 | GradleDaemon | 420.0MB | 973.5MB | 747.1MB
00:00:16 | 1924 | GradleDaemon | 469.8MB | 2180.5MB | 1577.7MB
00:00:22 | 1924 | GradleDaemon | 470.2MB | 2180.5MB | 1702.8MB
00:00:27 | 1924 | GradleDaemon | 952.6MB | 2169.0MB | 1773.3MB
00:00:33 | 1924 | GradleDaemon | 178.1MB | 1980.0MB | 2557.4MB
00:00:38 | 1924 | GradleDaemon | 625.2MB | 1892.5MB | 2593.3MB
00:00:44 | 1924 | GradleDaemon | 920.0MB | 1809.5MB | 2611.0MB
00:00:49 | 1924 | GradleDaemon | 1657.0MB | 1809.5MB | 2649.1MB
00:00:55 | 1924 | GradleDaemon | 1991.3MB | 2239.0MB | 2777.5MB
00:01:01 | 1924 | GradleDaemon | 692.0MB | 2233.5MB | 2858.3MB
00:01:01 | 2919 | KotlinCompileDaemon | 59.5MB | 230.0MB | 144.6MB
00:01:06 | 1924 | GradleDaemon | 760.2MB | 2233.5MB | 2858.6MB
00:01:06 | 2919 | KotlinCompileDaemon | 308.9MB | 419.5MB | 556.5MB
00:01:12 | 1924 | GradleDaemon | 939.2MB | 2233.5MB | 2867.3MB
00:01:12 | 2919 | KotlinCompileDaemon | 308.9MB | 419.5MB | 552.1MB
00:01:18 | 1924 | GradleDaemon | 1830.8MB | 2233.5MB | 2888.1MB
00:01:18 | 2919 | KotlinCompileDaemon | 311.4MB | 419.5MB | 556.3MB
00:01:24 | 1924 | GradleDaemon | 1951.9MB | 2195.5MB | 2992.3MB
00:01:24 | 2919 | KotlinCompileDaemon | 313.8MB | 419.5MB | 556.3MB
00:01:30 | 1924 | GradleDaemon | 1539.1MB | 2332.0MB | 2993.0MB
00:01:30 | 2919 | KotlinCompileDaemon | 313.8MB | 419.5MB | 556.3MB
00:01:35 | 1924 | GradleDaemon | 857.4MB | 2332.0MB | 3054.8MB
00:01:35 | 2919 | KotlinCompileDaemon | 79.3MB | 419.5MB | 594.6MB
00:01:41 | 1924 | GradleDaemon | 963.5MB | 2203.5MB | 3332.7MB
00:01:41 | 2919 | KotlinCompileDaemon | 79.3MB | 419.5MB | 594.6MB
00:01:47 | 1924 | GradleDaemon | 2184.9MB | 2203.5MB | 3355.6MB
00:01:47 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.6MB
00:01:54 | 1924 | GradleDaemon | 1005.8MB | 2483.0MB | 3441.1MB
00:01:54 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.6MB
00:01:59 | 1924 | GradleDaemon | 1954.0MB | 2483.0MB | 3539.5MB
00:01:59 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.6MB
00:02:05 | 1924 | GradleDaemon | 1360.6MB | 2491.5MB | 3517.9MB
00:02:05 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.6MB
00:02:11 | 1924 | GradleDaemon | 1230.9MB | 2529.0MB | 3526.8MB
00:02:11 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.6MB
00:02:17 | 1924 | GradleDaemon | 1602.6MB | 2456.0MB | 3546.8MB
00:02:17 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.6MB
00:02:22 | 1924 | GradleDaemon | 2188.6MB | 2342.0MB | 3631.6MB
00:02:22 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.6MB
00:02:28 | 1924 | GradleDaemon | 997.7MB | 2626.5MB | 3744.5MB
00:02:28 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.6MB
00:02:34 | 1924 | GradleDaemon | 2245.3MB | 2647.0MB | 3812.1MB
00:02:34 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.6MB
00:02:39 | 1924 | GradleDaemon | 2160.1MB | 2666.0MB | 3919.7MB
00:02:39 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.6MB
00:02:45 | 1924 | GradleDaemon | 1580.0MB | 2718.0MB | 4239.2MB
00:02:45 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.5MB
00:02:51 | 1924 | GradleDaemon | 2716.2MB | 2718.0MB | 4260.7MB
00:02:51 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.5MB
00:02:57 | 1924 | GradleDaemon | 2301.4MB | 3186.0MB | 4427.4MB
00:02:57 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.5MB
00:03:02 | 1924 | GradleDaemon | 1839.6MB | 3121.5MB | 4757.8MB
00:03:02 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.5MB
00:03:08 | 1924 | GradleDaemon | 3121.4MB | 3121.5MB | 4773.0MB
00:03:08 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.5MB
00:03:15 | 1924 | GradleDaemon | 2542.4MB | 3804.0MB | 4901.6MB
00:03:15 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.5MB
00:03:20 | 1924 | GradleDaemon | 2163.2MB | 3804.0MB | 4914.1MB
